,n_index,previous_index_num,movie_title_txt_num,imdb_id,n_of_posters,total_box_office,with_adjusted_box_office,total_label,year,movie_title,year_box_office_label,Rnum_year_box_office_label,groups_num,train_or_test,budget,sort_poster_label
0,10037,5588,5854,tt0120376,2,217,422,0,1997,Trojan War,0,R0,18,test,0,0
1,10036,5576,5839,tt0118870,3,552,1076,0,1997,Cold Around the Heart,0,R0,17,test,0,0
2,10035,5548,5800,tt0130297,1,967,1606,0,1997,Sweet Jane,0,R0,16,test,0,0
3,10034,5467,5708,tt0028905,1,2126,3534,0,1997,Homme Nu L,0,R0,15,test,0,0
4,10033,5365,5592,tt0119327,2,3620,7068,0,1997,Hugo Pool,0,R0,14,train,0,0
5,10020,5259,5471,tt0119401,1,5000,9768,0,1997,James Gang The,0,R0,1,train,0,0
6,10021,5265,5477,tt0118811,5,5000,9768,0,1997,Call of the Wild Dog of the Yukon The,0,R0,2,train,0,0
7,10022,5269,5483,tt7253216,1,5000,9768,0,1997,Guy,0,R0,3,train,0,0
8,10023,5270,5484,tt0113646,2,5000,9768,0,1997,Lewis and Clark and George,0,R0,4,train,0,0
9,10024,5273,5487,tt0111453,3,5000,9768,0,1997,Tollbooth,0,R0,5,train,0,0
10,10025,5278,5492,tt0115801,1,5000,9768,0,1997,Cadillac Ranch,0,R0,6,train,0,0
11,10026,5279,5493,tt0115832,3,5000,9768,0,1997,Carlas Song,0,R0,7,train,0,0
12,10027,5281,5495,tt0118042,1,5000,9768,0,1997,Unforgotten Twenty Five Years After Willowbrook,0,R0,8,train,0,0
13,10028,5282,5497,tt0118772,2,5000,9768,0,1997,Breaking Up,0,R0,9,train,0,0
14,10029,5285,5500,tt0112907,3,5000,9768,0,1997,Drunks,0,R0,10,train,0,0
15,10030,5288,5503,tt0118958,1,5000,9768,0,1997,Deli The,0,R0,11,train,0,0
16,10031,5290,5505,tt0116356,2,5000,9768,0,1997,Frankenstein and Me,0,R0,12,train,0,0
17,10032,10235,14127,tt0119227,9,5000,9768,0,1997,Grimm Brothers Snow White The,0,R0,13,train,26000000,0
18,10019,5183,5387,tt0091149,40,6707,13105,0,1997,Mouse The,0,R0,0,train,0,0
19,8945,5116,5313,tt0113425,3,8225,16065,0,1997,Innocent Sleep The,1,R1,18,test,0,0
20,8944,5079,5273,tt2558318,8,9043,15043,0,1997,Well The,1,R1,17,test,0,0
21,8943,5007,5193,tt0111038,1,10758,21017,0,1997,Soul in the Hole,1,R1,16,test,0,0
22,8942,4993,5177,tt0117172,1,11251,21985,0,1997,Nick and Jane,1,R1,15,test,0,0
23,8941,4945,5123,tt0082898,1,12646,20039,0,1997,Personals The,1,R1,14,train,0,0
